"Country or Territory","Station Name","WMO Station Number","National Station Id Number","Period","Element-Statistic Qualifier Code","Statistic Description","Unit","Jan","Jan Footnotes","Feb","Feb Footnotes","Mar","Mar Footnotes","Apr","Apr Footnotes","May","May Footnotes","Jun","Jun Footnotes","Jul","Jul Footnotes","Aug","Aug Footnotes","Sep","Sep Footnotes","Oct","Oct Footnotes","Nov","Nov Footnotes","Dec","Dec Footnotes","Annual","Annual Footnotes","Annual NCDC Computed Value","Annual NCDC Computed Value Footnotes"
"BRAZIL","Tirios","82026","","1961-1990","","Mean Value","deg C","29.0","","28.8","","29.2","","29.4","","29.5","","29.6","","29.9","","30.8","","31.7","","32.2","","31.6","","30.3","","30.1","","30.2",""
"BRAZIL","Macapa","82098","","1961-1990","","Mean Value","deg C","29.7","","29.2","","29.3","","29.5","","30.0","","30.3","","30.6","","31.5","","32.1","","32.6","","32.3","","31.4","","30.7","","30.7",""
"BRAZIL","Barcelos","82113","","1961-1990","","Mean Value","deg C","31.7","","31.9","","31.9","","31.3","","31.2","","30.8","","31.1","","31.6","","32.0","","32.3","","32.4","","31.9","","31.7","","31.7",""
"BRAZIL","SOURE","82141","","1961-1990","","Mean Value","deg C","30.5","","30.0","","30.0","","30.4","","30.8","","31.1","","31.0","","30.8","","31.5","","32.0","","32.0","","31.5","","31.0","","31.0",""
"BRAZIL","Tracuateua","82145","","1961-1990","","Mean Value","deg C","30.8","","29.7","","27.3","","29.8","","30.4","","30.8","","30.8","","31.2","","31.6","","32.5","","32.8","","32.5","","30.9","","30.8",""
"BRAZIL","Obidos","82178","","1961-1990","","Mean Value","deg C","31.0","","30.3","","30.4","","30.4","","30.5","","30.7","","31.2","","32.2","","33.0","","33.3","","33.1","","32.1","","31.5","","31.5",""
"BRAZIL","Monte Alegre","82181","","1961-1990","","Mean Value","deg C","30.5","","29.9","","29.9","","29.9","","30.0","","30.0","","30.5","","31.4","","32.3","","32.5","","32.3","","31.8","","30.9","","30.9",""
"BRAZIL","Porto de Moz","82184","","1961-1990","","Mean Value","deg C","31.0","","30.5","","30.7","","30.8","","30.9","","31.2","","31.6","","32.5","","32.8","","33.2","","32.8","","32.2","","31.6","","31.7",""
"BRAZIL","Breves","82188","","1961-1990","","Mean Value","deg C","31.1","","30.8","","30.9","","31.3","","31.7","","32.0","","32.2","","32.8","","32.9","","33.3","","32.9","","32.3","","32.0","","32.0",""
"BRAZIL","Belem","82191","","1961-1990","","Mean Value","deg C","30.9","","30.5","","30.4","","30.8","","31.3","","31.7","","31.7","","32.1","","32.1","","32.2","","32.3","","31.9","","31.4","","31.5",""
