"Country or Territory","Station Name","WMO Station Number","National Station Id Number","Period","Element-Statistic Qualifier Code","Statistic Description","Unit","Jan","Jan Footnotes","Feb","Feb Footnotes","Mar","Mar Footnotes","Apr","Apr Footnotes","May","May Footnotes","Jun","Jun Footnotes","Jul","Jul Footnotes","Aug","Aug Footnotes","Sep","Sep Footnotes","Oct","Oct Footnotes","Nov","Nov Footnotes","Dec","Dec Footnotes","Annual","Annual Footnotes","Annual NCDC Computed Value","Annual NCDC Computed Value Footnotes"
"BRAZIL","Tirios","82026","","1961-1990","","Mean Value","deg C","20.7","","20.8","","21.0","","21.4","","21.3","","21.0","","20.7","","20.6","","20.4","","20.9","","21.0","","21.0","","20.9","","20.9",""
"BRAZIL","Macapa","82098","","1961-1990","","Mean Value","deg C","23.0","","23.1","","23.2","","23.5","","23.5","","23.2","","22.9","","23.3","","23.4","","23.5","","23.5","","23.4","","23.2","","23.3",""
"BRAZIL","Barcelos","82113","","1961-1990","","Mean Value","deg C","22.2","","22.1","","22.2","","22.0","","21.8","","21.8","","21.5","","21.5","","21.4","","21.6","","22.1","","22.0","","22.0","","21.9",""
"BRAZIL","SOURE","82141","","1961-1990","","Mean Value","deg C","23.9","","23.4","","23.4","","23.6","","23.9","","24.1","","23.9","","24.4","","25.0","","25.2","","25.2","","24.7","","24.2","","24.2",""
"BRAZIL","Tracuateua","82145","","1961-1990","","Mean Value","deg C","21.7","","21.8","","21.9","","22.0","","21.0","","21.0","","20.5","","20.5","","20.4","","20.4","","20.8","","21.5","","21.1","","21.1",""
"BRAZIL","Obidos","82178","","1961-1990","","Mean Value","deg C","22.2","","22.0","","22.2","","22.2","","22.0","","21.9","","21.6","","22.0","","22.2","","22.5","","22.5","","22.1","","22.1","","22.1",""
"BRAZIL","Monte Alegre","82181","","1961-1990","","Mean Value","deg C","22.6","","21.9","","22.0","","22.2","","22.5","","21.9","","22.3","","22.6","","22.8","","23.2","","23.1","","22.7","","22.5","","22.5",""
"BRAZIL","Porto de Moz","82184","","1961-1990","","Mean Value","deg C","22.1","","22.1","","22.3","","22.4","","22.5","","22.4","","22.0","","22.3","","22.5","","22.7","","22.7","","22.7","","22.3","","22.4",""
"BRAZIL","Breves","82188","","1961-1990","","Mean Value","deg C","21.3","","21.4","","21.4","","22.4","","21.7","","21.4","","21.1","","21.0","","21.0","","20.9","","21.2","","21.4","","21.3","","21.3",""
"BRAZIL","Belem","82191","","1961-1990","","Mean Value","deg C","22.1","","22.2","","22.4","","21.8","","22.6","","22.1","","21.7","","21.7","","21.7","","21.6","","21.9","","22.0","","21.9","","22.0",""
"BRAZIL","Turiacu","82198","","1961-1990","","Mean Value","deg C","23.5","","23.1","","23.1","","23.2","","21.6","","22.9","","22.9","","23.5","","23.8","","23.9","","24.0","","24.0","","23.2","","23.3",""
"BRAZIL","Parintins","82240","","1961-1990","","Mean Value","deg C","23.9","","23.7","","24.0","","24.1","","24.3","","24.0","","23.8","","24.3","","24.7","","24.7","","24.5","","24.2","","24.1","","24.2",""
"BRAZIL","Belterra","82246","","1961-1990","","Mean Value","deg C","20.8","","20.5","","20.5","","20.9","","21.7","","19.8","","19.4","","19.7","","20.3","","20.9","","21.1","","20.8","","20.5","","20.5",""
"BRAZIL","Sao Luis","82280","","1961-1990","","Mean Value","deg C","22.3","","23.1","","23.0","","23.1","","23.1","","22.9","","22.6","","23.0","","23.5","","23.7","","24.0","","22.9","","23.1","","23.1",""
"BRAZIL","Parnaiba","82287","","1961-1990","","Mean Value","deg C","23.5","","21.3","","23.0","","23.0","","22.8","","22.2","","22.0","","23.4","","23.4","","23.6","","23.7","","23.8","","23.0","","23.0",""
