--------------------
BDMEP - INMET
--------------------
Estação           : BRASILIA - DF (OMM: 83377)
Latitude  (graus) : -15.78
Longitude (graus) : -47.92
Altitude  (metros): 1159.54
Estação Operante
Inicio de operação: 12/09/1961
Periodo solicitado dos dados: 01/01/2010 a 31/12/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por , (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,
83377,31/01/2010,0000,5,2.010753,6,132.6,102.86748,102.86748,195.6,7.387097,17,121,NaN,886.141935,27.574194,22.423226,18.416129,71.572581,NaN,
83377,28/02/2010,0000,0,2.083333,8,142.8,95.317083,81.09893,203.3,6.75,11,37.2,NaN,886.14881,28.417857,23.121429,18.95,66.714286,NaN,
83377,31/03/2010,0000,0,1.784946,7,107.8,95.007047,95.007047,188.5,7.698925,18,244.7,NaN,885.880645,28.141935,22.435484,18.845161,75.709677,NaN,
83377,30/04/2010,0000,0,1.655556,6,146.9,80.289332,80.289332,234.2,5.166667,7,238.8,NaN,887.204444,27.103333,21.472667,16.996667,65.433333,NaN,
83377,31/05/2010,0000,0,1.589247,7,167.6,78.513981,67.458837,256.5,4.806452,4,27.5,NaN,887.262366,27.883871,21.268387,15.767742,59.540323,NaN,
83377,30/06/2010,0000,0,1.766667,8,188.2,54.94878,25.382678,252.2,2.433333,0,0,NaN,890.025556,26.116667,19.348667,13.493333,54.583333,NaN,
83377,31/07/2010,0000,5,2.956989,10,228.6,63.075923,16.213669,267.5,2.677419,0,0,NaN,890.068817,25.841935,19.594194,14.4,49.879032,NaN,
83377,31/08/2010,0000,5,2.494505,9,294.5,67.253559,9.030347,295.6,1.549451,0,0,NaN,889.563736,27.466667,20.584667,14.173333,38.466667,NaN,
83377,30/09/2010,0000,5,3,10,338.9,100.127366,5.955488,253.4,2.255556,0,0,NaN,887.507778,30.173333,23.439333,17.6,35.441667,NaN,
83377,31/10/2010,0000,0,1.430108,7,155.7,104.164434,104.164434,183.9,7.107527,18,189.9,NaN,885.574194,29.235484,23.006452,18.741935,66.991935,NaN,
