--------------------
BDMEP - INMET
--------------------
Estação           : BRASILIA - DF (OMM: 83377)
Latitude  (graus) : -15.78
Longitude (graus) : -47.92
Altitude  (metros): 1159.54
Estação Operante
Inicio de operação: 12/09/1961
Periodo solicitado dos dados: 01/01/2010 a 31/12/2016
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por , (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83377,01/01/2010,0000,NaN,25.9,NaN,1.7,20.28,89,2,
83377,01/01/2010,1200,7.4,NaN,18,NaN,NaN,NaN,NaN,
83377,02/01/2010,0000,NaN,26.4,NaN,8.3,21.28,75.75,4.666667,
83377,02/01/2010,1200,12.9,NaN,17.5,NaN,NaN,NaN,NaN,
83377,03/01/2010,0000,NaN,28,NaN,11.2,23.3,61,4.333333,
83377,03/01/2010,1200,0,NaN,18.4,NaN,NaN,NaN,NaN,
83377,04/01/2010,0000,NaN,29,NaN,9.9,24.1,57.25,2,
83377,04/01/2010,1200,0,NaN,19.7,NaN,NaN,NaN,NaN,
83377,05/01/2010,0000,NaN,29.5,NaN,11.4,23.98,58,1,
83377,05/01/2010,1200,0,NaN,18.5,NaN,NaN,NaN,NaN,
83377,06/01/2010,0000,NaN,28.2,NaN,4.9,22.08,83.75,2,
83377,06/01/2010,1200,0,NaN,19.1,NaN,NaN,NaN,NaN,
83377,07/01/2010,0000,NaN,26.4,NaN,1.9,21.3,88.25,1,
83377,07/01/2010,1200,11.4,NaN,18.8,NaN,NaN,NaN,NaN,
83377,08/01/2010,0000,NaN,25.4,NaN,3.9,20.36,81.5,2.666667,
83377,08/01/2010,1200,16.2,NaN,17.2,NaN,NaN,NaN,NaN,
83377,09/01/2010,0000,NaN,28.4,NaN,11.5,22.6,64.75,2,
83377,09/01/2010,1200,0.1,NaN,17,NaN,NaN,NaN,NaN,
83377,10/01/2010,0000,NaN,29,NaN,10.2,24.06,58.75,2.666667,
83377,10/01/2010,1200,0,NaN,18.3,NaN,NaN,NaN,NaN,
83377,11/01/2010,0000,NaN,29.3,NaN,7.2,23.28,65.75,2,
83377,11/01/2010,1200,0,NaN,19.1,NaN,NaN,NaN,NaN,
83377,12/01/2010,0000,NaN,27.4,NaN,7.7,21.78,80,1.666667,
83377,12/01/2010,1200,0,NaN,17.5,NaN,NaN,NaN,NaN,
83377,13/01/2010,0000,NaN,25,NaN,3.3,21.36,85,0,
83377,13/01/2010,1200,22.4,NaN,18.3,NaN,NaN,NaN,NaN,
83377,14/01/2010,0000,NaN,27,NaN,6.8,22.24,76.5,1.666667,
83377,14/01/2010,1200,7.6,NaN,18.2,NaN,NaN,NaN,NaN,
83377,15/01/2010,0000,NaN,28.2,NaN,3.6,22.32,77,1,
83377,15/01/2010,1200,14,NaN,17.3,NaN,NaN,NaN,NaN,
83377,16/01/2010,0000,NaN,27.6,NaN,6.1,23.38,78,0.333333,
83377,16/01/2010,1200,0,NaN,18.6,NaN,NaN,NaN,NaN,
83377,17/01/2010,0000,NaN,28.9,NaN,10.8,23.84,58.75,4.333333,
83377,17/01/2010,1200,0.2,NaN,20.1,NaN,NaN,NaN,NaN,
83377,18/01/2010,0000,NaN,29.6,NaN,10.3,24.32,51.5,3,
83377,18/01/2010,1200,0,NaN,18.9,NaN,NaN,NaN,NaN,
83377,19/01/2010,0000,NaN,29.2,NaN,11.6,23.18,45.5,2,
83377,19/01/2010,1200,0,NaN,17.2,NaN,NaN,NaN,NaN,
83377,20/01/2010,0000,NaN,29.4,NaN,9,23.42,57.5,2,
83377,20/01/2010,1200,0,NaN,17.7,NaN,NaN,NaN,NaN,
83377,21/01/2010,0000,NaN,28.5,NaN,3.5,21.7,70,1,
83377,21/01/2010,1200,6.8,NaN,18.2,NaN,NaN,NaN,NaN,
83377,22/01/2010,0000,NaN,27.4,NaN,3.3,21.74,78.75,0.333333,
83377,22/01/2010,1200,0,NaN,18.4,NaN,NaN,NaN,NaN,
83377,23/01/2010,0000,NaN,24.4,NaN,1.8,20.34,84.75,2,
83377,23/01/2010,1200,11.9,NaN,17.4,NaN,NaN,NaN,NaN,
83377,24/01/2010,0000,NaN,26.2,NaN,5.2,22.04,73,3.333333,
83377,24/01/2010,1200,0.6,NaN,18,NaN,NaN,NaN,NaN,
83377,25/01/2010,0000,NaN,26.1,NaN,1.7,21.22,83.5,0.333333,
83377,25/01/2010,1200,0,NaN,18.6,NaN,NaN,NaN,NaN,
83377,26/01/2010,0000,NaN,25.6,NaN,2.7,21.48,83,1.333333,
83377,26/01/2010,1200,0.9,NaN,18.6,NaN,NaN,NaN,NaN,
83377,27/01/2010,0000,NaN,28,NaN,4.3,21.54,78.75,2,
83377,27/01/2010,1200,2.4,NaN,18.6,NaN,NaN,NaN,NaN,
83377,28/01/2010,0000,NaN,26.2,NaN,2.6,22.2,82.5,3.666667,
83377,28/01/2010,1200,1,NaN,19.1,NaN,NaN,NaN,NaN,
83377,29/01/2010,0000,NaN,28.6,NaN,5.4,23.08,66.25,1.666667,
83377,29/01/2010,1200,1,NaN,18.6,NaN,NaN,NaN,NaN,
83377,30/01/2010,0000,NaN,29,NaN,10.2,24.08,58.75,1.666667,
83377,30/01/2010,1200,4.2,NaN,18.9,NaN,NaN,NaN,NaN,
83377,31/01/2010,0000,NaN,27,NaN,3.6,23.24,66,3,
83377,31/01/2010,1200,0,NaN,21.1,NaN,NaN,NaN,NaN,
83377,01/02/2010,0000,NaN,29.5,NaN,10.4,24.04,56.75,4.333333,
83377,01/02/2010,1200,0,NaN,18.7,NaN,NaN,NaN,NaN,
83377,02/02/2010,0000,NaN,29.5,NaN,10.8,24.48,54.75,2.666667,
83377,02/02/2010,1200,0,NaN,19.8,NaN,NaN,NaN,NaN,
83377,03/02/2010,0000,NaN,29.5,NaN,11.1,25.1,49.25,3.333333,
83377,03/02/2010,1200,0,NaN,20.3,NaN,NaN,NaN,NaN,
83377,04/02/2010,0000,NaN,30.4,NaN,9.7,25.54,49.5,3.333333,
83377,04/02/2010,1200,0,NaN,21.6,NaN,NaN,NaN,NaN,
83377,05/02/2010,0000,NaN,29.3,NaN,10.9,23.84,56,0.666667,
83377,05/02/2010,1200,0,NaN,19.1,NaN,NaN,NaN,NaN,
83377,06/02/2010,0000,NaN,27.5,NaN,6.9,21.72,75,0.333333,
83377,06/02/2010,1200,0,NaN,18,NaN,NaN,NaN,NaN,
83377,07/02/2010,0000,NaN,26.6,NaN,1.4,20.84,78.75,0.666667,
83377,07/02/2010,1200,13.2,NaN,17.8,NaN,NaN,NaN,NaN,
83377,08/02/2010,0000,NaN,27,NaN,6.4,21,74,1,
83377,08/02/2010,1200,1.4,NaN,16.1,NaN,NaN,NaN,NaN,
83377,09/02/2010,0000,NaN,26,NaN,5.8,20.48,75.25,3.666667,
83377,09/02/2010,1200,1.1,NaN,16.8,NaN,NaN,NaN,NaN,
83377,10/02/2010,0000,NaN,27.2,NaN,7.3,21.92,72.25,0.666667,
83377,10/02/2010,1200,0.5,NaN,17.4,NaN,NaN,NaN,NaN,
83377,11/02/2010,0000,NaN,26.2,NaN,5.3,21.96,64.25,3.333333,
83377,11/02/2010,1200,0.2,NaN,17.2,NaN,NaN,NaN,NaN,
